stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
0600MA19023,chetwgm,"Woodend, o/s Woodend Farm",53.37118,-2.03740,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19023
0600MA19067,chewjtd,"Handforth Dean, opp Frontline House (Unmarked)",53.35050,-2.20895,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19067
0600MA19137,cheadtag,"Alderley Park, Mereside (NW-bound, Unmarked)",53.27587,-2.23013,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19137
0600MA19167,cheagadw,"Morley Green, nr Mobberley Road (Unmarked)",53.33422,-2.25497,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19167
0600MA19168,cheagagm,"Morley Green, o/s Waters (Unmarked)",53.33632,-2.25608,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19168
0600MA6004,chepjwp,"Macclesfield, General Hospital (E-bound)",53.26339,-2.14121,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6004
0600MA6008,chegdmg,"Broken Cross, o/s Shops",53.25971,-2.16107,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6008
0600MA6020,chepwjm,"Knutsford, Bus Station (Stand 1)",53.30265,-2.37516,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6020
0600MA6050,chegdwm,"Styal, nr Quarry Bank Mill",53.34504,-2.24806,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6050
0600MA6124,chegpap,"Macclesfield, o/s General Hospital",53.26282,-2.14138,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6124
0600MA6142,cheptjm,"Tytherington, opp Sandwich Drive",53.27635,-2.13597,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6142
0600MA6143,cheptjp,"Tytherington, Sandwich Drive (cnr)",53.27602,-2.13570,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6143
0600MA6154,chepwgw,"Macclesfield, Bus Station (Bay 1)",53.25834,-2.12502,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA6154
0610VR036,chwajtg,"Lostock Gralam, opp Slow & Easy PH",53.27001,-2.46723,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0610VR036
0610VR038,chwajtj,"Lostock Gralam, opp Griffiths Road",53.26947,-2.47004,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0610VR038
